Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^NYA,2008-08-01,8438.709961,8452.009766,8356.429688,8379.150391,8379.150391,4684870000
^IXIC,2008-08-01,2326.830078,2328.949951,2286.409912,2310.959961,2310.959961,2312140000
^FTSE,2008-08-01,5411.899902,5411.899902,5321.299805,5354.700195,5354.700195,1341947000
^NSEI,2008-08-01,4331.600098,4422.950195,4235.700195,4413.549805,4413.549805,0
^BSESN,2008-08-01,14064.25977,14682.33008,14032.87012,14656.69043,14656.69043,40200
^N225,2008-08-01,13276.57031,13294.16992,13039.20996,13094.58984,13094.58984,135000000
000001.SS,2008-08-01,2751.02002,2830.763916,2721.951904,2801.816895,2801.816895,49200
^N100,2008-08-01,753,757.4099731,744.210022,747.1400146,747.1400146,308081600
^DJI,2008-08-01,11379.88965,11425.73047,11267.0498,11326.32031,11326.32031,189700000
^GSPC,2008-08-01,1269.420044,1270.52002,1254.540039,1260.310059,1260.310059,4684870000
GC=F,2008-08-01,904.9000244,916.0999756,902.0999756,909,909,1834
CL=F,2008-08-01,124.0599976,128.6000061,122.0999985,125.0999985,125.0999985,277311
^NYA,2008-08-04,8379.160156,8379.160156,8253.450195,8268.650391,8268.650391,4562280000
^IXIC,2008-08-04,2309.75,2309.75,2280.929932,2285.560059,2285.560059,2010200000
^FTSE,2008-08-04,5354.700195,5414.700195,5310.299805,5320.200195,5320.200195,972098300
^NSEI,2008-08-04,4426.100098,4436.149902,4362.899902,4395.350098,4395.350098,0
^BSESN,2008-08-04,14594.63965,14725.94043,14503.50977,14577.87012,14577.87012,24800
^N225,2008-08-04,13083.28027,13113.94043,12910.16992,12933.17969,12933.17969,142000000
000001.SS,2008-08-04,2782.985107,2793.25708,2738.850098,2741.73999,2741.73999,37200
^N100,2008-08-04,747.3499756,751.7700195,741.2000122,743.0999756,743.0999756,270769400
^DJI,2008-08-04,11326.32031,11382.16992,11221.53027,11284.15039,11284.15039,170250000
^GSPC,2008-08-04,1253.27002,1260.48999,1247.449951,1249.01001,1249.01001,4562280000
GC=F,2008-08-04,912.7000122,915.2999878,894.4000244,900.0999756,900.0999756,2415
CL=F,2008-08-04,125.9800034,126.3499985,119.5,121.4100037,121.4100037,294048
^NYA,2008-08-05,8268.700195,8471.849609,8268.700195,8471.849609,8471.849609,1219310000
^IXIC,2008-08-05,2308.139893,2349.830078,2303.629883,2349.830078,2349.830078,2324730000
^FTSE,2008-08-05,5320.200195,5454.5,5299.700195,5454.5,5454.5,1655153000
^NSEI,2008-08-05,4395.799805,4515.149902,4376,4502.850098,4502.850098,0
^BSESN,2008-08-05,14562.67969,14986.62988,14529.20996,14961.07031,14961.07031,35600
^N225,2008-08-05,12957.00977,13049.58008,12893.33984,12914.66016,12914.66016,144600000
000001.SS,2008-08-05,2751.199951,2762.262939,2684.733887,2690.746094,2690.746094,42400
^N100,2008-08-05,746.1400146,761,743.6599731,760.960022,760.960022,410174700
^DJI,2008-08-05,11286.01953,11615.92969,11286.01953,11615.76953,11615.76953,234990000
^GSPC,2008-08-05,1254.869995,1284.880005,1254.670044,1284.880005,1284.880005,1219310000
GC=F,2008-08-05,895.4000244,895.4000244,873.2999878,878.5999756,878.5999756,790
CL=F,2008-08-05,121,121.2300034,118,119.1699982,119.1699982,316589
^NYA,2008-08-06,8471.839844,8513.879883,8418.799805,8501.44043,8501.44043,4873420000
^IXIC,2008-08-06,2349.169922,2385.77002,2333.530029,2378.370117,2378.370117,2228710000
^FTSE,2008-08-06,5454.5,5498.600098,5440.100098,5486.100098,5486.100098,1634412000
^NSEI,2008-08-06,4506.25,4615.899902,4503.899902,4517.549805,4517.549805,0
^BSESN,2008-08-06,15263.65039,15422.82031,15035.59961,15073.54004,15073.54004,32600
^N225,2008-08-06,13059.42969,13295.50977,13048.96973,13254.88965,13254.88965,156300000
000001.SS,2008-08-06,2711.602051,2743.113037,2678.862061,2719.36792,2719.36792,40600
^N100,2008-08-06,766.4099731,772.2199707,762.1699829,771.5499878,771.5499878,394184900
^DJI,2008-08-06,11603.63965,11685.45996,11521.32031,11656.07031,11656.07031,180060000
^GSPC,2008-08-06,1283.98999,1291.670044,1276,1289.189941,1289.189941,4873420000
GC=F,2008-08-06,880.7000122,885.5999756,875,875.5999756,875.5999756,1330
CL=F,2008-08-06,118.75,120.4899979,117.1100006,118.5800018,118.5800018,307994
^NYA,2008-08-07,8501.700195,8501.700195,8321.040039,8338.400391,8338.400391,5319380000
^IXIC,2008-08-07,2362.790039,2386.439941,2351.320068,2355.72998,2355.72998,2189120000
^FTSE,2008-08-07,5486.100098,5539.299805,5450.899902,5477.5,5477.5,1552156300
^NSEI,2008-08-07,4515.25,4580.149902,4493.700195,4523.850098,4523.850098,0
^BSESN,2008-08-07,15031.86035,15280.05957,14992.96973,15117.25,15117.25,25800
^N225,2008-08-07,13257.99023,13257.99023,13034.15039,13124.99023,13124.99023,135900000
000001.SS,2008-08-07,2717.501953,2742.705078,2691.35498,2727.576904,2727.576904,39400
^N100,2008-08-07,769.8200073,782.1900024,768.5599976,772.1599731,772.1599731,376838300
^DJI,2008-08-07,11655.41992,11655.58008,11416.7002,11431.42969,11431.42969,229610000
^GSPC,2008-08-07,1286.51001,1286.51001,1264.290039,1266.069946,1266.069946,5319380000
GC=F,2008-08-07,882.2000122,883.7999878,870.2999878,870.7000122,870.7000122,335
CL=F,2008-08-07,118.8000031,121.7799988,117.9100037,120.0199966,120.0199966,304204
^NYA,2008-08-08,8338.290039,8467.280273,8279.980469,8460.320313,8460.320313,4966810000
^IXIC,2008-08-08,2356.840088,2416.399902,2352.040039,2414.100098,2414.100098,2189630000
^FTSE,2008-08-08,5477.5,5507.200195,5410.799805,5489.200195,5489.200195,1416347700
^NSEI,2008-08-08,4518.350098,4546.350098,4464,4529.5,4529.5,0
^BSESN,2008-08-08,15036.57031,15228.82031,14888.12012,15167.82031,15167.82031,21000
^N225,2008-08-08,13026.53027,13259.73047,12962.82031,13168.41016,13168.41016,162300000
000001.SS,2008-08-08,2724.429932,2725.930908,2595.916992,2605.718994,2605.718994,48600
^N100,2008-08-08,767.1900024,779.0599976,765.5999756,778.8699951,778.8699951,348455600
^DJI,2008-08-08,11432.08984,11759.95996,11388.04004,11734.32031,11734.32031,212830000
^GSPC,2008-08-08,1266.290039,1297.849976,1262.109985,1296.319946,1296.319946,4966810000
GC=F,2008-08-08,868.7999878,869.5,851.0999756,857.7999878,857.7999878,303
CL=F,2008-08-08,119.9000015,120.0800018,114.6200027,115.1999969,115.1999969,297330
^NYA,2008-08-11,8460.240234,8524.200195,8438.330078,8492.94043,8492.94043,5067310000
^IXIC,2008-08-11,2407.550049,2461.649902,2402.530029,2439.949951,2439.949951,2272240000
^FTSE,2008-08-11,5489.200195,5541.799805,5477.700195,5541.799805,5541.799805,1121815600
^NSEI,2008-08-11,4529.350098,4625.200195,4529.350098,4620.399902,4620.399902,0
^BSESN,2008-08-11,15430.30957,15520.70996,15367.96973,15503.91992,15503.91992,26200
^N225,2008-08-11,13259.45996,13468.80957,13259.45996,13430.91016,13430.91016,113800000
000001.SS,2008-08-11,2595.89502,2601.501953,2453.707031,2470.073975,2470.073975,47200
^N100,2008-08-11,779.9799805,788.75,778.9299927,788.7399902,788.7399902,280273500
^DJI,2008-08-11,11729.66992,11867.11035,11675.53027,11782.34961,11782.34961,183190000
^GSPC,2008-08-11,1294.420044,1313.150024,1291.410034,1305.319946,1305.319946,5067310000
GC=F,2008-08-11,858.2999878,863.4000244,818,821.5,821.5,286
CL=F,2008-08-11,115.1999969,116.9000015,112.7200012,114.4499969,114.4499969,295334
^NYA,2008-08-12,8492.509766,8492.509766,8372.110352,8398.709961,8398.709961,4711290000
^IXIC,2008-08-12,2434.26001,2447.159912,2421.090088,2430.610107,2430.610107,2052610000
^FTSE,2008-08-12,5541.799805,5569.200195,5491.299805,5534.5,5534.5,1249922700
^NSEI,2008-08-12,4620.950195,4649.850098,4525.75,4552.25,4552.25,0
^BSESN,2008-08-12,15577.2002,15579.78027,15124.91016,15212.12988,15212.12988,27000
^N225,2008-08-12,13397.99023,13420.09961,13276.15039,13303.59961,13303.59961,125200000
000001.SS,2008-08-12,2445.216064,2484.746094,2430.849121,2457.197998,2457.197998,36600
^N100,2008-08-12,785.6099854,791.8900146,781.539978,787.5800171,787.5800171,344337800
